time,USA,SWE,SGP,ISL,CAN,NLD,RUS,BRA,CHN
2018-09-08T11:59:46.950Z,3040.5,2539.9,2266.5,2159.6,2083.6,1712.9,1691.4,1555.2,
2018-09-08T16:57:05.810Z,3041.8,2540.1,2266.5,2159.6,2083.6,1714.9,1692.9,1555.2,
2018-09-09T16:57:06.020Z,3046.8,2542.2,2268.5,2161.4,2084.3,1720.3,1699.7,1556.4,
2018-09-10T16:57:06.554Z,3044.7,2541.2,2408.9,2160.5,2082.7,1719.1,1702.1,1555.8,
2018-09-11T16:57:07.393Z,3045.3,2539.7,2407.9,2159.8,2082,1718.3,1704.9,1555.3,
2018-09-12T16:57:07.491Z,3046.3,2541.5,2408.9,2160,2082.6,1719.4,1708.9,1556.4,
2018-09-13T16:57:06.080Z,3048.5,2546.5,2410.1,2160.7,2083.3,1723.4,1715.8,1556.5,
2018-09-14T16:57:06.010Z,3052,2548.5,2411.5,2162.9,2086.6,1724.9,1722.8,1557.5,
2018-09-15T16:57:07.221Z,3062,2550.8,2439.6,2169.3,2089.1,1726.3,1734.1,1557.8,
2018-09-16T16:57:05.946Z,3065.4,2551.5,2440.6,2173.4,2089.7,1726.6,1741.2,1558.5,
2018-09-17T16:57:06.578Z,3065.7,2551,2437,2172.7,2089,1726.1,1746.1,1557.2,
2018-09-18T16:57:06.682Z,3066.9,2551.3,2436.9,2172.9,2089.6,1727.2,1751.3,1556.4,
2018-09-19T16:57:06.261Z,3072.1,2554.9,2438.1,2175.3,2094.5,1730.2,1759.3,1558.8,
2018-09-20T16:57:06.668Z,3074,2555.3,2437.1,2176,2096.2,1731.3,1761.9,1558.9,
2018-09-21T16:57:05.290Z,3080.7,2560.1,2442.4,2179.6,2100.4,1735.7,1774.6,1562.1,
2018-09-22T16:57:06.553Z,3080.4,2561.2,2442.4,2179.2,2100.3,1735.7,1777.5,1566.4,
2018-09-23T16:57:08.010Z,3084.3,2560.1,2440.8,2178.3,2098.6,1734.4,1782.5,1565.9,
2018-09-24T16:57:06.412Z,3091.2,2560.6,2442.8,2179.6,2100.7,1735,1787.8,1566,
2018-09-25T16:57:06.651Z,3090,2479.1,2440.5,2177.7,2099.4,1735.8,1789.6,1564.5,
2018-09-26T16:57:06.365Z,3093.8,2480.9,2443.6,2181.2,2101.2,1739.2,1794.7,1565.6,
2018-09-27T16:57:06.449Z,3095.9,2482.8,2445.4,2184.3,2103.1,1743.9,1800.1,1566.6,
2018-09-28T16:57:07.012Z,3099.9,2485.2,2446.9,2185.7,2105.6,1745.3,1804.2,1569,
2018-09-29T16:57:08.573Z,3111.3,2489.9,2450.8,2193.3,2111.1,1757.9,1812.8,1571.5,
2018-09-30T16:57:07.600Z,3119.8,2496.3,2454.6,2205.3,2114.3,1761.4,1823.2,1573.1,
2018-10-01T16:57:05.866Z,3125.4,2497.5,2455.9,2220.2,2115.7,1766,1836.1,1573.8,
2018-10-02T16:57:06.570Z,3129.9,2500.7,2456.6,2224.9,2117.1,1768,1840.3,1574.6,
2018-10-03T16:57:07.352Z,3135.3,2502.9,2458.5,2232.2,2118.4,1770,1846.5,1577.2,
2018-10-04T16:57:06.446Z,3134.1,2500.5,2457.3,2231,2116.5,1772.3,1848.8,1575.9,
2018-10-05T16:57:07.959Z,3139,2499.7,2456.8,2231.5,2116.8,1773.2,1850.6,1575.4,
2018-10-06T16:57:05.959Z,3145.3,2501.8,2457.1,2246,2120.5,1776.3,1852.2,1575.2,
2018-10-07T16:57:07.425Z,3166,2504.4,2461,2261.6,2127.9,1785.5,1866.3,1577.3,
2018-10-08T16:57:07.472Z,3171.3,2509.3,2458,2265.6,2126.6,1786.9,1874.2,1577.4,
2018-10-09T16:57:08.155Z,3175.6,2511.6,2467.8,2266.3,2128,1794.7,1876.7,1578.9,
2018-10-10T16:57:06.974Z,3175.2,2513.4,2467.5,2281.6,2127.3,1795.4,1875.9,1578.8,
2018-10-11T16:57:14.214Z,3177.3,2514.7,2470.8,2281.2,2128.7,1796.3,1874.9,1579.4,
