time,stevenhalim,pandamonium,yanhao-ling,bay-wei-heng,sergio.vieri,nowa-allac,muhammad-irham-rasyidi,ng-tek-in,robinyu,raynold-ng,jiang-yue,tan-jun-an,prokarius,govindvenugopalan,shaun-thium,sidhant-bansal,alexander-lee,cheng-hang,sijie123,eugene-lim,ranaldlys,matthewng,raisfathin,bamboo3250,minh-phuc-le,chrismaxheart,nguyen-thanh-trung,fallen-angel,huangchao,clarence-chew,li-yao-an,minh141198,xinan,christopher-boo,melvin-tan-jun-keong,lin-lee,pyokagan,mark-ng,aguss787,owen-leong,lim-li,li-da,flashmt,kien-nguyen-tien-trung,patcho168,zhao-huangjie,liu-yang,wilson-tan,suxuan,sean-yap,lee-wei-hong,zhijian,teh-nian-fei,aaryam-srivastava,wilson-ler,giang-dao,way-tan,mario7lorenzo,kuan-wei-heng,rrtheonlyone,zane-yu,mofk,nguyen-do,vtifand,henry-jayakusuma,iltep64,e0134149,notrandompplonearth,tanphatls987,le-quang-tuan,donjar
2018-09-15T16:57:08.325Z,3587.3,3262.1,2752.6,2700.2,2306.7,1743,1651.9,1521.2,1457.3,1426.3,1381.8,1383.8,1317.5,1282.9,1191.6,1106.3,1100,1070.5,1074.2,1018.6,930.1,912.9,896.1,881.8,836.1,808.8,727.6,716.2,705.7,699,692.4,680.8,668.4,660.3,651.7,639.9,618.4,604.1,580.6,579.6,572.7,547.6,517.3,495,486.2,484.4,481.8,479.7,476.8,452.9,,,,,,,,,,,,,,,,,,,,,
2018-09-16T16:57:06.937Z,3589.8,3265,2752.3,2700.8,2306.7,1743.4,1652.4,1521,1457.5,1426.6,1382.3,1382,1317.5,1287.8,1191.7,1108.1,1099.9,1070.8,1075.7,1018.2,930.8,911.9,897.7,882.7,836.5,807.9,775.7,716.6,705.3,699.7,692.4,681.2,668.8,660.4,651.9,640.8,617.7,604.2,582,579.2,572.6,547.1,517.7,495.4,486.3,484.7,481.9,479.3,476.9,452.6,,,,,,,,,,,,,,,,,,,,,
2018-09-17T16:57:08.138Z,3583.3,3257.7,2750.3,2697.6,2306.4,1742.1,1651.6,1521.4,1457.4,1425.9,1385.3,1378.4,1317.7,1287.3,1191.3,1106.2,1099.7,1069.3,1071.2,1017.9,930.1,912.3,894.6,883,835.9,808,770.3,716.3,705,699,691.9,680.9,668.3,660.2,651.8,639.6,618.3,604.1,579.9,579.5,572.2,546.4,517.7,495.1,485.7,483.8,481.6,479.1,476.7,452.9,,,,,,,,,,,,,,,,,,,,,
2018-09-18T16:57:07.766Z,3582.5,3256.6,2751.4,2695.7,2307.4,1743.4,1651.3,1522.2,1458.2,1428,1390.9,1376,1317.6,1287.9,1192.4,1108.3,1102.1,1071.7,1070.2,1018.5,930.2,912.2,894.8,883,838,817.5,766.8,716.9,705.2,699.1,692.7,681.8,668.8,660.7,651.2,653.5,618.9,604.4,580.3,579.3,572.5,546.8,518.3,495.1,486.2,484.3,481.9,479.6,476.9,453.1,,,,,,,,,,,,,,,,,,,,,
2018-09-19T16:57:07.306Z,3584.3,3256.2,2753.6,2694.7,2310.8,1746.3,1653.7,1524.6,1461.4,1429.9,1393.6,1375.2,1319.5,1290.2,1194.7,1109.2,1103.5,1073.8,1070,1019.9,931.5,913.6,895.7,883.8,839,818.5,763.6,718,706.8,700.9,692.9,682.8,670.1,661.3,652.7,658.8,619.2,605.6,581.4,581.2,573.1,563.8,518.3,495.8,487.1,484.9,482.7,480.2,477.3,454,,,,,,,,,,,,,,,,,,,,,
2018-09-20T16:57:08.028Z,3583.7,3255.4,2751.1,2693,2312,1747,1651.5,1526.8,1460.8,1429.1,1395.3,1375.2,1319,1290,1194,1107.8,1102.5,1072.4,1068.8,1020.2,931.1,913.7,894.9,885.3,837.6,819.2,762.6,718.3,707.3,701.7,692.8,681.5,669.3,661.8,653,657,620.5,606.1,581.2,581.2,572.6,562.9,519.1,496.1,487.6,485.6,482.9,480.2,477.7,453.7,,,,,,,,,,,,,,,,,,,,,
2018-09-21T16:57:06.591Z,3590.1,3259.3,2756.6,2697.9,2317.9,1752.7,1671,1532.5,1461.5,1430,1396.4,1378.9,1320.7,1291.9,1195.7,1110,1102.4,1073.4,1069.9,1021.5,932.1,915.2,896.4,885.4,838.1,822.1,762.8,718.8,708.3,705.3,693.6,681.9,670.1,662.5,654.4,658.5,621.5,607.7,581.2,582.7,575.5,567.4,519.8,496.5,488,486,483.4,481.1,478.8,455,,,,,,,,,,,,,,,,,,,,,
2018-09-22T16:57:07.585Z,3590.8,3257.9,2756.4,2699.9,2317.8,1750.1,1670,1536.3,1460.7,1431.3,1397.6,1379.5,1320.3,1292.4,1199.2,1109.8,1103.8,1074.8,1069.7,1022.4,932.1,916,896.1,885.2,838.6,841.9,760.8,719.1,708.9,704.7,693.2,680.6,670.4,662.4,655,657.6,622.1,608,581.2,581.6,574.9,565.8,519.4,496.7,488,485.6,483.2,481.4,479.1,455.5,,,,,,,,,,,,,,,,,,,,,
2018-09-23T16:57:09.422Z,3588.4,3257.8,2754.7,2696.4,2314.3,1749.2,1668.6,1533.7,1459.7,1428.7,1395.5,1377.3,1320,1291.3,1196.9,1109,1102.1,1073,1068.4,1021.4,931,914.7,895.2,884.9,837.5,840.4,761.1,718.3,707.5,704.8,692.6,680.4,669.4,661.5,653.8,657,620.4,606.8,581.8,602.6,574.6,564.5,519.4,496.2,488.2,486.2,482.4,480.8,478.2,454.8,,,,,,,,,,,,,,,,,,,,,
2018-09-24T16:57:07.389Z,3592.1,3259.9,2756.6,2701.7,2318.8,1749.5,1668.9,1535.2,1458.6,1429.7,1396.1,1378,1319.2,1291.7,1197.1,1110.1,1103.3,1073.2,1068.7,1021.5,931.6,915.3,895.8,885.8,837.8,839.4,763.1,719.1,708.2,703.6,693,682.5,669.7,662,653.8,656.7,620,607.4,581.4,613.6,574.8,565.4,519.7,496.8,489.2,486.7,482.7,480.7,478.6,454.8,,,,,,,,,,,,,,,,,,,,,
