time,kth.se,nus.edu.sg,ru.is,mta.ca,stanford.edu,mipt.ru,uwaterloo.ca,sdsmt.edu,lu.se,usp.br
2018-09-08T11:59:46.239Z,2396.7,2394,2126.9,1726.8,1607.1,1475.6,1190.6,1137.5,,
2018-09-08T16:57:04.778Z,2398,2394,2126.9,1726.8,1607.1,1477.2,1190.6,1139.3,,
2018-09-09T16:57:05.095Z,2401.9,2396.1,2128.7,1727.3,1608,1480.5,1190.8,1146.2,,
2018-09-10T16:57:05.404Z,2401,2510.6,2127.1,1725.3,1607,1483.1,1190.7,1145.3,,
2018-09-11T16:57:06.125Z,2400,2509.4,2126.6,1724.8,1607.3,1486.6,1190.3,1145.6,,
2018-09-12T16:57:06.579Z,2401.9,2510.3,2126.6,1725.3,1607.8,1491.1,1190.5,1156.5,,
2018-09-13T16:57:05.138Z,2407.9,2511.6,2127.5,1725.8,1606.6,1497.2,1191,1161.5,,
2018-09-14T16:57:04.965Z,2409.4,2513.2,2129.5,1729.3,1608.1,1502.9,1192.6,1164,,
2018-09-15T16:57:05.973Z,2410.2,2540.4,2135.9,1731,1613.5,1512.3,1197.9,1167.9,,
2018-09-16T16:57:05.002Z,2410.6,2541.6,2140.1,1730.4,1613.1,1518.4,1198.7,1176.4,,
2018-09-17T16:57:05.405Z,2409.6,2538.3,2139.5,1730.4,1612,1522.9,1197.6,1179.4,,
2018-09-18T16:57:05.550Z,2410.2,2538.3,2139.6,1730.6,1612.4,1527.6,1198.4,1182.7,,
2018-09-19T16:57:05.263Z,2412.9,2539.8,2142,1733.6,1614.7,1535.5,1201.4,1185.5,,
2018-09-20T16:57:05.328Z,2414.1,2539.1,2142.7,1734.9,1614,1538.2,1201.2,1192.8,,
2018-09-21T16:57:04.670Z,2418.3,2544.6,2146.2,1738.9,1617,1550.5,1203.5,1197.4,,
2018-09-22T16:57:05.453Z,2417.5,2544.7,2145.9,1739.2,1615.9,1553.4,1202.4,1197.9,,
2018-09-23T16:57:06.908Z,2416.4,2542.9,2145,1736.9,1615.5,1558.7,1202,1206.3,,
2018-09-24T16:57:05.355Z,2416.2,2545.2,2146.2,1740,1617.1,1565,1202.5,1213.9,,
2018-09-25T16:57:05.200Z,2417.8,2542.8,2144.2,1737.9,1616.1,1567.2,1202.8,1217,,
2018-09-26T16:57:05.324Z,2419.8,2546,2146.2,1739.8,1616.7,1572.4,1202.8,1220.4,,
2018-09-27T16:57:05.234Z,2423.2,2547.9,2147.4,1740.9,1617.6,1577.3,1204,1223.4,,
2018-09-28T16:57:05.904Z,2425,2549.3,2148.7,1743.6,1618.9,1580.8,1205.7,1224.3,,
2018-09-29T16:57:07.511Z,2437.3,2553.7,2153.8,1748.1,1621.3,1589,1208.5,1229.3,,
2018-09-30T16:57:06.826Z,2442.2,2557.7,2165.5,1750.6,1622.7,1598.8,1210.8,1242.6,,
2018-10-01T16:57:04.772Z,2446.4,2559.2,2179.1,1751.6,1623.5,1610.6,1211.9,1248.7,,
2018-10-02T16:57:05.525Z,2449.7,2559.9,2182.4,1752.4,1624,1614.6,1212.4,1250.4,,
2018-10-03T16:57:06.746Z,2452.1,2562,2184.5,1753.2,1623.9,1620.5,1212.4,1258.1,,
2018-10-04T16:57:05.801Z,2452.8,2561,2182.4,1751.7,1621.7,1622.8,1210.1,1260.8,,
2018-10-05T16:57:07.213Z,2452.6,2560.6,2182.9,1752.9,1621.2,1624.4,1210.2,1264,,
2018-10-06T16:57:04.937Z,2454.4,2561,2197.5,1757.7,1626.9,1625.3,1212.5,1271.4,,
2018-10-07T16:57:06.139Z,2461.2,2562.5,2213.5,1763.3,1653.7,1638.6,1216.4,1278.7,,
2018-10-08T16:57:06.362Z,2462.1,2559.7,2212.5,1761.5,1651.6,1646.3,1226.7,1282.8,,
2018-10-09T16:57:06.759Z,2468.8,2569.6,2213.3,1762.8,1651.7,1648.5,1226.8,1286.4,,
2018-10-10T16:57:05.903Z,2468.6,2569.4,2228.6,1762.2,1649.9,1647.6,1226,1289.1,,
2018-10-11T16:57:11.065Z,2470.1,2572.7,2228.4,1763.5,1648.5,1646.4,1224.8,1293.4,,
2018-10-12T16:57:04.967Z,2473.8,2569.9,2227.8,1760.9,1646.1,1645.2,1222.8,1298.3,,
2018-10-13T16:57:06.219Z,2472.8,2569.4,2227.4,1760.1,1644.9,1646.5,1221.7,1300.4,,
2018-10-14T16:57:06.042Z,2480.3,2569.6,2227.1,1760.3,1645.2,1649.5,1222.5,1310.2,,
2018-10-15T16:57:07.270Z,2482.3,2573.2,2229.5,1762.2,1654.9,1653.2,1227.9,1319.6,,
2018-10-16T16:57:05.142Z,2485.8,2578.8,2231,1762.8,1656.2,1653.3,1228.6,1320.2,,
2018-10-17T16:57:04.768Z,2492.2,2588.4,2233.2,1774.6,1658.3,1658.5,1231.2,1324.3,,
2018-10-18T16:57:06.208Z,2496.4,2587.9,2232.6,1772,1654.4,1664.5,1227.9,1326.8,,
2018-10-19T16:57:05.163Z,2498.6,2592.7,2234.5,1773.3,1654.5,1666.3,1227.3,1328.3,,
2018-10-20T16:57:04.914Z,2497.4,2591.5,2235.3,1773,1654.7,1665.8,undefined,1328.4,1228.7,
2018-10-21T16:57:05.655Z,2497,2594.7,2237.3,1773.4,1654.1,1668.1,undefined,1335.1,1233.6,
2018-10-22T16:57:23.384Z,2498.5,2595.3,2236.4,1774.5,1661.7,1666.9,undefined,1335,1242.2,
2018-10-23T16:57:07.112Z,2505.5,2607,2241.4,1778.4,1664.9,1676.8,undefined,1338.1,1256.3,
2018-10-24T16:57:05.362Z,2506.2,2608.8,2240.2,1777.1,1665.3,1677.7,undefined,1337.8,1261.2,
2018-10-25T16:57:06.443Z,2505.9,2607.5,2238.3,1776.5,1663.5,1677.1,undefined,1347.1,1268.5,
2018-10-26T16:57:06.160Z,2505,2604.6,2237.5,1777.8,1662.4,1676.4,undefined,1347.5,1280.7,
2018-10-27T16:57:05.481Z,2507.7,2607.5,2240.1,1779.8,1663.9,1677.6,undefined,1348.9,1302.3,
2018-10-28T16:57:05.195Z,2513.1,2617,2246.7,1785.3,1673.5,1682.3,undefined,1358.4,1324.9,
2018-10-29T16:57:05.930Z,2511.1,2618,2246.5,1786.3,1683.9,1683.6,undefined,1359.1,1331.7,
2018-10-30T16:57:06.113Z,2515.7,2623.8,2247.1,1787.7,1684.4,1690.2,undefined,1369.3,1342.2,
2018-10-31T16:57:06.052Z,2519.6,2623.4,2246.4,1788.7,1683.7,1691.6,undefined,1377.8,1351.8,
2018-11-01T16:57:05.331Z,2520.8,2623.1,2245.3,1788.4,1683.6,1692.9,undefined,1380.4,1360.6,
2018-11-02T16:57:07.018Z,2522.7,2623.6,2245.1,1790.6,1683.9,1693.8,undefined,1389.3,1374.9,
2018-11-03T16:57:05.243Z,2529.7,2621.2,2242.9,1791.3,1682.6,1692.2,undefined,1395.6,1397.2,
2018-11-04T16:57:05.481Z,2532.9,2627,2244.7,1794,1686.3,1693.9,undefined,1399.8,1412.8,
2018-11-05T16:57:12.006Z,2535.7,2630.5,2245.1,1795.6,1690.5,1706.6,undefined,1401.6,1422.7,
2018-11-06T16:57:06.786Z,2539.7,2630.3,2245.4,1795.6,1689.8,1706.6,undefined,1401.9,1432.3,
2018-11-07T16:57:05.558Z,2540.9,2632.8,2247.7,1797.8,1690,1707.1,undefined,1370.2,1449.7,
2018-11-08T16:57:06.458Z,2538.3,2627.7,2244,1794.8,1687.3,1704.2,undefined,1369.1,1465,
2018-11-09T16:57:07.951Z,2537.8,2624.7,2241.6,1794,1685.9,1702.1,undefined,1369,1484.2,
2018-11-10T16:57:07.254Z,2544.6,2622.2,2248.9,1793.1,1687.6,1701.5,undefined,1371.8,1512.7,
2018-11-11T16:57:05.982Z,2551,2622.2,2254.8,1793.1,1698.8,1713.7,undefined,1373.9,1545,
2018-11-12T16:57:06.163Z,2542.1,2619,2251.6,1792.3,1695.9,1719.4,undefined,1379.8,1545.8,
2018-11-13T16:57:05.711Z,2548.5,2620.4,2251.2,1792.3,1694.2,1721.8,undefined,1386,1548.5,
2018-11-14T16:57:05.807Z,2558.5,2621.7,2251.7,1792.5,1694.9,1727.1,undefined,1386.1,1556.1,
2018-11-15T16:57:05.642Z,2565.7,2627.5,2253.1,1794.2,1695.5,1731.5,undefined,1386.8,1565.6,
2018-11-16T16:57:05.157Z,2574.5,2628.9,2254,1794,1696.5,1732.4,undefined,1389.8,1570.8,
2018-11-17T16:57:05.682Z,2584.4,2627.7,2259.9,1795.7,1700.5,1731.7,undefined,1388.9,1570.8,
2018-11-18T16:57:05.295Z,2590.8,2629.1,2261.2,1795,1700.9,1732.3,undefined,1395.1,1573.6,
2018-11-19T16:57:08.239Z,2603.1,2629.6,2277.1,1795.4,1700.8,1732.5,undefined,1396.3,1585.2,
2018-11-20T16:57:06.057Z,2612.1,2627.6,2293.8,1792.6,1698.3,1729.6,undefined,1395.1,1591.4,
2018-11-21T16:57:05.885Z,2619.2,2627.3,2307.8,1792.4,1698.2,1729.2,undefined,1397.2,1598.2,
2018-11-22T16:57:05.623Z,2621,2628.2,2317.5,1793.3,1698.6,1729.4,undefined,1399.4,1603,
2018-11-23T16:57:05.583Z,2625.8,2625.6,2316,1792.2,1697.5,1728.4,undefined,1405.5,1607.4,
2018-11-24T16:57:05.552Z,2626.7,2627.3,2318.2,1793.2,1696.6,1728.4,undefined,1411.4,1609.2,
2018-11-25T16:57:07.857Z,2634.3,2626.9,2317.1,1792,1700.2,1727.5,undefined,1411.2,1616.2,
2018-11-26T16:57:06.985Z,2635.7,2521,2323.9,1792,1698.1,1726.7,undefined,1411.7,1618.7,
2018-11-27T16:57:05.251Z,2644.7,2523.3,2325.6,1791.9,1698.4,1727.3,undefined,1412.5,1624.3,
2018-11-28T16:57:05.168Z,2643.4,2525.3,2329.9,1791.5,1697.4,1726.7,undefined,1412.8,1624.5,
2018-11-29T16:57:06.413Z,2642.5,2528.8,2333.9,1790,1696.6,1727,undefined,1412.2,1623.5,
2018-11-30T16:57:05.694Z,2642,2530.7,2336.9,1789.2,1695.7,1727.1,undefined,1412.1,1623.9,
2018-12-01T16:57:04.759Z,2642.7,2534,2339,1789.8,1695.5,1727.1,undefined,1412.1,1624.7,
2018-12-02T16:57:05.037Z,2640.2,2538,2341.1,1789.4,1694.8,1725.6,undefined,1411.7,1625.2,
2018-12-03T16:57:05.541Z,2642.1,2553.2,2348.6,1788.3,1695,1725.3,undefined,1411.1,1637.3,
2018-12-04T16:57:05.782Z,2644.8,2686.3,2349.7,1789.7,1696.4,1725.1,undefined,1411.5,1637.5,
2018-12-05T16:57:06.314Z,2643.1,2694.7,2347.4,1789.1,1694.8,1723.2,undefined,1410.4,1636,
2018-12-06T16:57:06.051Z,2643,2707.6,2346.8,1789.5,1694.8,1723.9,undefined,1411.4,1636.3,
2018-12-07T16:57:05.328Z,2641.6,2715.3,2348.8,1788.5,1694.5,1723.3,undefined,1413,1636.6,
2018-12-08T16:57:05.532Z,2639.9,2715.4,2350.1,1787.7,1693.7,1722.7,undefined,1413.6,1635.6,
2018-12-09T16:57:06.264Z,2640.5,2723.8,2354.3,1788.6,1694.3,1722.9,undefined,1413.3,1636.3,
2018-12-10T16:57:05.791Z,2640.1,2728.9,2354,1787.8,1693.9,1722.3,undefined,1413.2,1637.6,
2018-12-11T16:57:06.057Z,2639.3,2736.1,2353.7,1787.6,1694.4,1723.5,undefined,1413.4,1639.2,
2018-12-12T16:57:06.970Z,2634.4,2737.5,2350.4,1785.1,1691.7,1721.5,undefined,1413,1637.6,
2018-12-13T16:57:05.733Z,2635.7,2518.4,2349.8,1785.7,1695.9,1721.5,undefined,1415.9,1637.6,
2018-12-14T16:57:06.192Z,2634,2375.8,2350.7,1785.2,1694.5,1720.5,undefined,1416.3,1637.1,
2018-12-15T16:57:06.184Z,2637.4,2381.1,2353.8,1785.7,1695.4,1722,undefined,1417.1,1639.2,
2018-12-16T16:57:06.495Z,2638.5,2382.8,2353.9,1786.9,1695.2,1722.1,undefined,1417.4,1640.4,
2018-12-17T16:57:05.567Z,2642.4,2386.4,2354.2,1787.7,1695.7,1723.1,undefined,1417.5,1640.5,
2018-12-18T16:57:05.940Z,2645.6,2388,2353.1,1786.9,1695,1722.6,undefined,1417.6,1639.7,
2018-12-19T16:57:06.707Z,2649.1,2385.9,2351,1785.1,1694.3,1721.5,undefined,1416.8,1638.1,
